Product code;Language;Price;Lower limit;User group;Percentage discount
"proba245";"ru";"2.75";"1";"Все";"0"
"proba246";"ru";"0.17";"1";"Все";"0"
"proba247";"ru";"61.36";"1";"Все";"0"
"proba248";"ru";"64.78";"1";"Все";"0"
"proba249";"ru";"67.78";"1";"Все";"0"
"proba250";"ru";"70.45";"1";"Все";"0"
"proba251";"ru";"154.50";"1";"Все";"0"
"proba252";"ru";"161.63";"1";"Все";"0"
"proba253";"ru";"159.08";"1";"Все";"0"
"proba254";"ru";"168.16";"1";"Все";"0"
"proba255";"ru";"578.40";"1";"Все";"0"
"proba256";"ru";"605.70";"1";"Все";"0"
"proba257";"ru";"606.86";"1";"Все";"0"
"proba258";"ru";"632.95";"1";"Все";"0"
"proba259";"ru";"73.20";"1";"Все";"0"
"proba260";"ru";"173.60";"1";"Все";"0"
"proba261";"ru";"731.80";"1";"Все";"0"
"proba262";"ru";"818.17";"1";"Все";"0"
"proba263";"ru";"79.52";"1";"Все";"0"
"proba264";"ru";"197.45";"1";"Все";"0"
"proba265";"ru";"75.53";"1";"Все";"0"
"proba266";"ru";"202.35";"1";"Все";"0"
"proba267";"ru";"10.47";"1";"Все";"0"
"proba268";"ru";"24.61";"1";"Все";"0"
"proba269";"ru";"24.61";"1";"Все";"0"
"proba270";"ru";"24.61";"1";"Все";"0"
"proba271";"ru";"4.72";"1";"Все";"0"
"proba272";"ru";"6.33";"1";"Все";"0"
"proba273";"ru";"2.76";"1";"Все";"0"
"proba274";"ru";"2.76";"1";"Все";"0"
"proba275";"ru";"3.28";"1";"Все";"0"
"proba276";"ru";"2.76";"1";"Все";"0"
"proba277";"ru";"2.24";"1";"Все";"0"
"proba278";"ru";"5.64";"1";"Все";"0"
"proba279";"ru";"6.67";"1";"Все";"0"
"proba280";"ru";"4.95";"1";"Все";"0"
"proba281";"ru";"4.20";"1";"Все";"0"
"proba282";"ru";"28.75";"1";"Все";"0"
"proba283";"ru";"23.00";"1";"Все";"0"
"proba284";"ru";"28.75";"1";"Все";"0"
"proba285";"ru";"6.21";"1";"Все";"0"
"proba286";"ru";"22.77";"1";"Все";"0"
"proba287";"ru";"14.49";"1";"Все";"0"
"proba288";"ru";"0.47";"1";"Все";"0"
"proba289";"ru";"0.82";"1";"Все";"0"
"proba290";"ru";"1.96";"1";"Все";"0"
"proba291";"ru";"60.95";"1";"Все";"0"
"proba292";"ru";"5.00";"1";"Все";"0"
"proba293";"ru";"35.88";"1";"Все";"0"
"proba197";"ru";"99.00";"99";"Все";"0"
"proba198";"ru";"99.00";"99";"Все";"0"
"proba199";"ru";"99.00";"99";"Все";"0"
"proba200";"ru";"99.00";"99";"Все";"0"
"proba201";"ru";"99.00";"99";"Все";"0"
"proba202";"ru";"99.00";"99";"Все";"0"
"proba203";"ru";"0.36";"99";"Все";"0"
"proba204";"ru";"0.67";"99";"Все";"0"
"proba205";"ru";"0.72";"99";"Все";"0"
"proba206";"ru";"1.17";"99";"Все";"0"
"proba207";"ru";"1.50";"99";"Все";"0"
"proba208";"ru";"3.58";"99";"Все";"0"
"proba209";"ru";"5.82";"99";"Все";"0"
"proba210";"ru";"10.53";"99";"Все";"0"
"proba211";"ru";"15.36";"99";"Все";"0"
"proba212";"ru";"19.78";"99";"Все";"0"
"proba213";"ru";"28.76";"99";"Все";"0"
"proba214";"ru";"205.20";"99";"Все";"0"
"proba215";"ru";"576.00";"99";"Все";"0"
"proba216";"ru";"195.00";"99";"Все";"0"
"proba217";"ru";"252.00";"99";"Все";"0"
"proba218";"ru";"1260.00";"99";"Все";"0"
"proba219";"ru";"200.50";"99";"Все";"0"
"proba220";"ru";"250.00";"99";"Все";"0"
"proba221";"ru";"3090.50";"99";"Все";"0"
"proba222";"ru";"30.50";"99";"Все";"0"
"proba223";"ru";"33.50";"99";"Все";"0"
"proba224";"ru";"40.10";"99";"Все";"0"
"proba225";"ru";"3.75";"99";"Все";"0"
"proba226";"ru";"4.35";"99";"Все";"0"
"proba227";"ru";"4.05";"99";"Все";"0"
"proba228";"ru";"4.54";"99";"Все";"0"
"proba229";"ru";"4.10";"99";"Все";"0"
"proba230";"ru";"4.35";"99";"Все";"0"
"proba231";"ru";"4.75";"99";"Все";"0"
"proba232";"ru";"4.65";"99";"Все";"0"
"proba233";"ru";"4.97";"99";"Все";"0"
"proba234";"ru";"5.85";"99";"Все";"0"
"proba235";"ru";"5.95";"99";"Все";"0"
"proba236";"ru";"5.18";"99";"Все";"0"
"proba237";"ru";"6.60";"99";"Все";"0"
"proba238";"ru";"6.05";"99";"Все";"0"
"proba239";"ru";"6.26";"99";"Все";"0"
"proba240";"ru";"7.18";"99";"Все";"0"
"proba241";"ru";"88.55";"99";"Все";"0"
"proba242";"ru";"0.70";"99";"Все";"0"
"proba243";"ru";"1.18";"99";"Все";"0"
"proba244";"ru";"2.20";"99";"Все";"0"
"proba245";"ru";"2.39";"99";"Все";"0"
"proba246";"ru";"0.15";"99";"Все";"0"
"proba247";"ru";"53.36";"99";"Все";"0"
"proba248";"ru";"56.33";"99";"Все";"0"
"proba249";"ru";"56.33";"99";"Все";"0"
"proba250";"ru";"61.26";"99";"Все";"0"
"proba251";"ru";"134.35";"99";"Все";"0"
"proba252";"ru";"140.55";"99";"Все";"0"
"proba253";"ru";"138.33";"99";"Все";"0"
"proba254";"ru";"146.23";"99";"Все";"0"
"proba255";"ru";"502.95";"99";"Все";"0"
"proba256";"ru";"526.70";"99";"Все";"0"
"proba257";"ru";"527.70";"99";"Все";"0"
"proba258";"ru";"550.38";"99";"Все";"0"
